lat,lon,ele,name
-0.323310038,-78.19248299,4280.20166,Wetland_01
-0.324169016,-78.19351003,4276.88916,Wetland_02
-0.323051959,-78.19278097,4288.648926,Wetland_03
-0.324317962,-78.200984,4171.325195,Wetland_04
-0.32242801,-78.19879599,4231.375977,Wetland_05
-0.31976399,-78.200437,4256.871094,Wetland_06
-0.32134444,-78.20068889,,Wetland_07
-0.321644973,-78.20047396,4247.391113,Wetland_08
-0.327421026,-78.20322004,4119.587891,Wetland_09
-0.3243115,-78.1994786,,Wetland_10
-0.325162,-78.1973285,,Wetland_11
